entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_parcours_professionnel_for_value;field_parcours_professionnel_for_format
node;imprimeur_lithographe;0;10185;10185;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10188;10188;und;0;ouvrier lithographe / Papetierouvrier lithographe / Papetierouvrier lithographe / Papetierouvrier lithographe / Papetierouvrier lithographe / Papetier;plain_text
node;imprimeur_lithographe;0;10192;10192;und;0;compositeur typographe;plain_text
node;imprimeur_lithographe;0;10193;10193;und;0;papetier en gros et en détails;plain_text
node;imprimeur_lithographe;0;10196;10196;und;0;Papetier;plain_text
node;imprimeur_lithographe;0;10197;10197;und;0;fabrique des jouets d'enfants;plain_text
node;imprimeur_lithographe;0;10200;10200;und;0;marchand de papier en gros;plain_text
node;imprimeur_lithographe;0;10203;10203;und;0;papetier en gros ;plain_text
node;imprimeur_lithographe;0;10206;10206;und;0;cartonnier;plain_text
node;imprimeur_lithographe;0;10208;10208;und;0;lithographe;plain_text
node;imprimeur_lithographe;0;10211;10211;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10212;10212;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10213;10213;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10215;10215;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10221;10221;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10224;10224;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10228;10228;und;0;Employée chez Bénard et chez les frères Laprune, elle a travaillé 14 ans dans la lithographie avant de demander son brevet;plain_text
node;imprimeur_lithographe;0;10230;10230;und;0;Compositeur et éditeur de musique / Professeur de pianoCompositeur et éditeur de musique / Professeur de piano;plain_text
node;imprimeur_lithographe;0;10231;10231;und;0;Marchand papetier;plain_text
node;imprimeur_lithographe;0;10233;10233;und;0;Il a commencé des études au collège de Fontainebleau. Il a occupé un emploi de correcteur dans l'imprimerie Vinchon;plain_text
node;imprimeur_lithographe;0;10234;10234;und;0;Ecrivain lithographe;plain_text
node;imprimeur_lithographe;0;10235;10235;und;0;Ouvrier lithographe depuis 8 ans;plain_text
node;imprimeur_lithographe;0;10236;10236;und;0;Employé à l'Intendance militaire de Paris;plain_text
node;imprimeur_lithographe;0;10237;10237;und;0;Quand il demande le brevet, il travaille déjà depuis 5 ans dans le domaine de l'imprimerie lithographique. ;plain_text
node;imprimeur_lithographe;0;10239;10239;und;0;Ouvrier lithographe 9 ans chez Sapène;plain_text
node;imprimeur_lithographe;0;10240;10240;und;0;Artiste distingué pour la composition du dessin à sujets et ornements                      Il a été élève des frères des Ecoles chrétiennes;plain_text
node;imprimeur_lithographe;0;10241;10241;und;0;Eventailliste chez un de ses oncles (salaire 1200 frs);plain_text
node;imprimeur_lithographe;0;10245;10245;und;0;Coloriste, elle enseigne à plusieurs élèves avec les encouragements de sa Majesté;plain_text
node;imprimeur_lithographe;0;10247;10247;und;0;Graveur et écrivain lithographe;plain_text
node;imprimeur_lithographe;0;10249;10249;und;0;Il a travaillé 10 ans dans la lithographie de Mousse;plain_text
node;imprimeur_lithographe;0;10252;10252;und;0;Il a toujours travaillé dans le domaine de l'imprimerie lithographique;plain_text
node;imprimeur_lithographe;0;10258;10258;und;0;Ouvrier lithographe gagnat 7 fs par jour;plain_text
node;imprimeur_lithographe;0;10259;10259;und;0;Ecrivain lithographe / Il est employé comme secrétaire général de la Cie des Chemins de fer de l'Ouest aux appointements de 1900 frs/an;plain_text
node;imprimeur_lithographe;0;10260;10260;und;0;Papetier;plain_text
node;imprimeur_lithographe;0;10262;10262;und;0;Ancien militaire au service du Roi;plain_text
node;imprimeur_lithographe;0;10263;10263;und;0;Ecrivain et dessinateur lithographes;plain_text
node;imprimeur_lithographe;0;10264;10264;und;0;Elève de David;plain_text
node;imprimeur_lithographe;0;10267;10267;und;0;écrivain lithographe;plain_text
node;imprimeur_lithographe;0;10269;10269;und;0;dessinateur lithographe;plain_text
node;imprimeur_lithographe;0;10273;10273;und;0;conducteur de machines (presses lithographiques);plain_text
node;imprimeur_lithographe;0;10274;10274;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10275;10275;und;0;Avant d'être breveté, il a déjà quinze ans d'expérience dans l'imprimerie lithographique;plain_text
node;imprimeur_lithographe;0;10276;10276;und;0;Quand il demande le transfert de brevet, il travaille déjà depuis 16 ans en tant qu'imprimeur lithographe;plain_text
node;imprimeur_lithographe;0;10277;10277;und;0;Avant de demander son brevet, il a travaillé 6 ans dans la lithographie. ;plain_text
node;imprimeur_lithographe;0;10279;10279;und;0;compositeur typographe;plain_text
node;imprimeur_lithographe;0;10280;10280;und;0;10 ans d'expérience comme ouvrier dans une imprimerie lithographique avant de demander son brevet. ;plain_text
node;imprimeur_lithographe;0;10281;10281;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10282;10282;und;0;papetier;plain_text
node;imprimeur_lithographe;0;10283;10283;und;0;sellier carrossier;plain_text
node;imprimeur_lithographe;0;10284;10284;und;0;Il commence par être marchand d'estampes. ;plain_text
node;imprimeur_lithographe;0;10285;10285;und;0;Il a toujours travaillé comme ouvrier chez son père, marchand d'estampes;plain_text
node;imprimeur_lithographe;0;10286;10286;und;0;peintre d'histoire;plain_text
node;imprimeur_lithographe;0;10287;10287;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10288;10288;und;0;écrivain lithographe;plain_text
node;imprimeur_lithographe;0;10289;10289;und;0;contremaître;plain_text
node;imprimeur_lithographe;0;10291;10291;und;0;Officier ministériel;plain_text
node;imprimeur_lithographe;0;10292;10292;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10293;10293;und;0;écrivain lithographe;plain_text
node;imprimeur_lithographe;0;10294;10294;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10298;10298;und;0;Ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10299;10299;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10301;10301;und;0;peintre d'histoire;plain_text
node;imprimeur_lithographe;0;10303;10303;und;0;peintre d'histoire;plain_text
node;imprimeur_lithographe;0;10305;10305;und;0;artiste peintre;plain_text
node;imprimeur_lithographe;0;10306;10306;und;0;graveur et écrivain lithographe;plain_text
node;imprimeur_lithographe;0;10307;10307;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10308;10308;und;0;graveur;plain_text
node;imprimeur_lithographe;0;10310;10310;und;0;dessinateur lithographe;plain_text
node;imprimeur_lithographe;0;10311;10311;und;0;écrivain lithographe;plain_text
node;imprimeur_lithographe;0;10312;10312;und;0;lithographe;plain_text
node;imprimeur_lithographe;0;10313;10313;und;0;instituteur;plain_text
node;imprimeur_lithographe;0;10314;10314;und;0;employé à la Préfecture de police;plain_text
node;imprimeur_lithographe;0;10315;10315;und;0;marchand  de meubles;plain_text
