entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_lieu_de_naissance_value;field_lieu_de_naissance_format
node;imprimeur_lithographe;0;10185;10185;und;0;Pontlieu (Sarthe);plain_text
node;imprimeur_lithographe;0;10186;10186;und;0;Emmerins (Nord);plain_text
node;imprimeur_lithographe;0;10187;10187;und;0;Lille;plain_text
node;imprimeur_lithographe;0;10188;10188;und;0;Marcheseuil (Côte d'Or);plain_text
node;imprimeur_lithographe;0;10191;10191;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10192;10192;und;0;Lille;plain_text
node;imprimeur_lithographe;0;10194;10194;und;0;Villers-Compsart;plain_text
node;imprimeur_lithographe;0;10195;10195;und;0;Origny Ste Benoite (Aisne);plain_text
node;imprimeur_lithographe;0;10197;10197;und;0;Pontivy;plain_text
node;imprimeur_lithographe;0;10198;10198;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10199;10199;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10200;10200;und;0;Verberie (Oise);plain_text
node;imprimeur_lithographe;0;10201;10201;und;0;Boran-Morancy - Oise;plain_text
node;imprimeur_lithographe;0;10205;10205;und;0;Rennes;plain_text
node;imprimeur_lithographe;0;10206;10206;und;0;Villemaux (Aube);plain_text
node;imprimeur_lithographe;0;10207;10207;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10208;10208;und;0;Abbeville;plain_text
node;imprimeur_lithographe;0;10211;10211;und;0;Caen;plain_text
node;imprimeur_lithographe;0;10213;10213;und;0;St Just en Chaussée (Oise);plain_text
node;imprimeur_lithographe;0;10215;10215;und;0;Corny (Moselle);plain_text
node;imprimeur_lithographe;0;10216;10216;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10217;10217;und;0;Montreuil Largillé (Eure);plain_text
node;imprimeur_lithographe;0;10218;10218;und;0;Sanvic (Seine Inférieure);plain_text
node;imprimeur_lithographe;0;10222;10222;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10223;10223;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10227;10227;und;0;Aurouches;plain_text
node;imprimeur_lithographe;0;10228;10228;und;0;Quesnoy sur Deule (Nord);plain_text
node;imprimeur_lithographe;0;10229;10229;und;0;Sèvres;plain_text
node;imprimeur_lithographe;0;10232;10232;und;0;Lavendelée (Manche);plain_text
node;imprimeur_lithographe;0;10233;10233;und;0;Dôle (Jura);plain_text
node;imprimeur_lithographe;0;10234;10234;und;0;Melun;plain_text
node;imprimeur_lithographe;0;10235;10235;und;0;Rouen;plain_text
node;imprimeur_lithographe;0;10236;10236;und;0;Ste Honorine La Chardonne;plain_text
node;imprimeur_lithographe;0;10239;10239;und;0;Marguerittes (Gard);plain_text
node;imprimeur_lithographe;0;10241;10241;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10243;10243;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10247;10247;und;0;Champenis (Seine et Oise);plain_text
node;imprimeur_lithographe;0;10248;10248;und;0;Dammartin;plain_text
node;imprimeur_lithographe;0;10249;10249;und;0;Sempy (Pas de calais);plain_text
node;imprimeur_lithographe;0;10250;10250;und;0;St Pol (Pas de Calais);plain_text
node;imprimeur_lithographe;0;10253;10253;und;0;Rennes;plain_text
node;imprimeur_lithographe;0;10255;10255;und;0;Solincourt (Somme);plain_text
node;imprimeur_lithographe;0;10256;10256;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10259;10259;und;0;Béthisy St Martin (Oise);plain_text
node;imprimeur_lithographe;0;10260;10260;und;0;Douai (Nord);plain_text
node;imprimeur_lithographe;0;10263;10263;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10265;10265;und;0;Mortagne;plain_text
node;imprimeur_lithographe;0;10266;10266;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10267;10267;und;0;Lyon;plain_text
node;imprimeur_lithographe;0;10268;10268;und;0;Verdun;plain_text
node;imprimeur_lithographe;0;10269;10269;und;0;Strasbourg;plain_text
node;imprimeur_lithographe;0;10270;10270;und;0;Moulins les Metz (Moselle);plain_text
node;imprimeur_lithographe;0;10271;10271;und;0;St Yrien (Haute Vienne);plain_text
node;imprimeur_lithographe;0;10272;10272;und;0;Maubeuge;plain_text
node;imprimeur_lithographe;0;10273;10273;und;0;Thorey sur Ouche (Côte d'Or);plain_text
node;imprimeur_lithographe;0;10274;10274;und;0;Sedan;plain_text
node;imprimeur_lithographe;0;10275;10275;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10277;10277;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10279;10279;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10280;10280;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10281;10281;und;0;Vaugirard;plain_text
node;imprimeur_lithographe;0;10284;10284;und;0;Sens (Yonne);plain_text
node;imprimeur_lithographe;0;10286;10286;und;0;Rennes;plain_text
node;imprimeur_lithographe;0;10287;10287;und;0;Tillay le Perreux (Eure et Loir);plain_text
node;imprimeur_lithographe;0;10288;10288;und;0;Rouen;plain_text
node;imprimeur_lithographe;0;10289;10289;und;0;Bazoche (Eure et Loire);plain_text
node;imprimeur_lithographe;0;10290;10290;und;0;Auxerre;plain_text
node;imprimeur_lithographe;0;10291;10291;und;0;Etampes;plain_text
node;imprimeur_lithographe;0;10292;10292;und;0;Marseille;plain_text
node;imprimeur_lithographe;0;10296;10296;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10297;10297;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10298;10298;und;0;St Pierre l'Eglise (Manche);plain_text
node;imprimeur_lithographe;0;10301;10301;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10307;10307;und;0;Rouen;plain_text
node;imprimeur_lithographe;0;10311;10311;und;0;Bordeaux;plain_text
node;imprimeur_lithographe;0;10313;10313;und;0;Fontenay le Marmion;plain_text
node;imprimeur_lithographe;0;10314;10314;und;0;Macon;plain_text
node;imprimeur_lithographe;0;10315;10315;und;0;Auxerre;plain_text
node;imprimeur_lithographe;0;10318;10318;und;0;Pontoise;plain_text
node;imprimeur_lithographe;0;10320;10320;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10321;10321;und;0;Orléans;plain_text
node;imprimeur_lithographe;0;10322;10322;und;0;Poilly (Yonne);plain_text
node;imprimeur_lithographe;0;10324;10324;und;0;Santilly (Eure et Loir);plain_text
node;imprimeur_lithographe;0;10325;10325;und;0;Orléans;plain_text
node;imprimeur_lithographe;0;10326;10326;und;0;Cambremer (Calvados);plain_text
node;imprimeur_lithographe;0;10327;10327;und;0;Saverdun  (Arriège);plain_text
node;imprimeur_lithographe;0;10328;10328;und;0;Cilly;plain_text
node;imprimeur_lithographe;0;10329;10329;und;0;Perpignan;plain_text
node;imprimeur_lithographe;0;10330;10330;und;0;St Bonnet (Loire);plain_text
node;imprimeur_lithographe;0;10331;10331;und;0;Pobernheim (Prusse);plain_text
node;imprimeur_lithographe;0;10332;10332;und;0;Reims;plain_text
node;imprimeur_lithographe;0;10333;10333;und;0;Semur en Brionnais (Saône et Loire);plain_text
node;imprimeur_lithographe;0;10334;10334;und;0;paris;plain_text
node;imprimeur_lithographe;0;10336;10336;und;0;Perpignan;plain_text
node;imprimeur_lithographe;0;10338;10338;und;0;Grézieu (Rhône);plain_text
node;imprimeur_lithographe;0;10339;10339;und;0;Metz;plain_text
node;imprimeur_lithographe;0;10341;10341;und;0;Paris - ;plain_text
node;imprimeur_lithographe;0;10344;10344;und;0;Bordeaux;plain_text
node;imprimeur_lithographe;0;10345;10345;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10346;10346;und;0;Privas - ;plain_text
node;imprimeur_lithographe;0;10347;10347;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10348;10348;und;0;Vimoutiers (Oise);plain_text
node;imprimeur_lithographe;0;10349;10349;und;0;Meaulte (Somme);plain_text
node;imprimeur_lithographe;0;10350;10350;und;0;Choisy le Roi;plain_text
node;imprimeur_lithographe;0;10351;10351;und;0;Poinson le Graney (Haute-Marne);plain_text
node;imprimeur_lithographe;0;10353;10353;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10357;10357;und;0;Lippslalts - Prusse;plain_text
node;imprimeur_lithographe;0;10358;10358;und;0;Chambéry;plain_text
node;imprimeur_lithographe;0;10359;10359;und;0;Riedisheim (Haut-Rhin);plain_text
node;imprimeur_lithographe;0;10360;10360;und;0;Carcassonne;plain_text
node;imprimeur_lithographe;0;10361;10361;und;0;Bordeaux;plain_text
node;imprimeur_lithographe;0;10362;10362;und;0;Taisnières en Thiérarche (Nord);plain_text
node;imprimeur_lithographe;0;10365;10365;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10366;10366;und;0;Lyon;plain_text
node;imprimeur_lithographe;0;10367;10367;und;0;Grenoble;plain_text
node;imprimeur_lithographe;0;10370;10370;und;0;Moutiers (Moselle);plain_text
node;imprimeur_lithographe;0;10372;10372;und;0;Courtefontine (Jura);plain_text
node;imprimeur_lithographe;0;10373;10373;und;0;Pellerey (Côte d'or);plain_text
node;imprimeur_lithographe;0;10374;10374;und;0;Longjumeau;plain_text
node;imprimeur_lithographe;0;10376;10376;und;0;Vallangoujard (Seine et Oise);plain_text
node;imprimeur_lithographe;0;10379;10379;und;0;Auxerre;plain_text
node;imprimeur_lithographe;0;10381;10381;und;0;Trelly (Manche);plain_text
node;imprimeur_lithographe;0;10383;10383;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10384;10384;und;0;Colmar (Haut-Rhin);plain_text
node;imprimeur_lithographe;0;10385;10385;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10386;10386;und;0;Nantes;plain_text
node;imprimeur_lithographe;0;10388;10388;und;0;Ste Foy les Lyon (Rhône);plain_text
node;imprimeur_lithographe;0;10389;10389;und;0;Cheylade;plain_text
node;imprimeur_lithographe;0;10392;10392;und;0;Bourges;plain_text
node;imprimeur_lithographe;0;10394;10394;und;0;St Germain en Laye;plain_text
node;imprimeur_lithographe;0;10397;10397;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10398;10398;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10399;10399;und;0; - ;plain_text
node;imprimeur_lithographe;0;10400;10400;und;0;Tréport;plain_text
node;imprimeur_lithographe;0;10401;10401;und;0;Rotterdam;plain_text
node;imprimeur_lithographe;0;10402;10402;und;0;Angoulême;plain_text
node;imprimeur_lithographe;0;10403;10403;und;0;Rigny (Haute-Saône);plain_text
node;imprimeur_lithographe;0;10404;10404;und;0;La Chapelle (Seine);plain_text
node;imprimeur_lithographe;0;10406;10406;und;0;Elbeuf;plain_text
node;imprimeur_lithographe;0;10407;10407;und;0;Rouen;plain_text
node;imprimeur_lithographe;0;10408;10408;und;0;Mayence;plain_text
node;imprimeur_lithographe;0;10410;10410;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10411;10411;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10412;10412;und;0;Espagne;plain_text
node;imprimeur_lithographe;0;10413;10413;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10415;10415;und;0;Blainville sur l'eau;plain_text
node;imprimeur_lithographe;0;10416;10416;und;0;Lyon;plain_text
node;imprimeur_lithographe;0;10417;10417;und;0;Autreppes (Aisne);plain_text
node;imprimeur_lithographe;0;10418;10418;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10419;10419;und;0;Hanches (Eure & Loir);plain_text
node;imprimeur_lithographe;0;10421;10421;und;0;St Saëns (Seine Inférieure);plain_text
node;imprimeur_lithographe;0;10422;10422;und;0; - ;plain_text
node;imprimeur_lithographe;0;10424;10424;und;0;Quimper;plain_text
node;imprimeur_lithographe;0;10425;10425;und;0;Verdun;plain_text
node;imprimeur_lithographe;0;10426;10426;und;0; - ;plain_text
node;imprimeur_lithographe;0;10427;10427;und;0;Nîmes;plain_text
node;imprimeur_lithographe;0;10428;10428;und;0;Alais;plain_text
node;imprimeur_lithographe;0;10430;10430;und;0;Naples;plain_text
node;imprimeur_lithographe;0;10431;10431;und;0;Paris - ;plain_text
node;imprimeur_lithographe;0;10433;10433;und;0;Paris;plain_text
