entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_date_de_naissance_value
node;imprimeur_lithographe;0;23259;23259;und;0;1836-04-12 00:00:00
node;imprimeur_lithographe;0;23260;23260;und;0;1817-03-24 00:00:00
node;imprimeur_lithographe;0;23262;23261;und;0;1797-10-14 00:00:00
node;imprimeur_lithographe;0;23263;23263;und;0;1818-03-20 00:00:00
node;imprimeur_lithographe;0;23264;23264;und;0;1824-12-17 00:00:00
node;imprimeur_lithographe;0;23265;23265;und;0;1807-12-09 00:00:00
node;imprimeur_lithographe;0;23266;23266;und;0;1796-05-31 00:00:00
node;imprimeur_lithographe;0;23267;23267;und;0;1831-09-25 00:00:00
node;imprimeur_lithographe;0;23268;23268;und;0;1831-09-25 00:00:00
node;imprimeur_lithographe;0;23269;23269;und;0;1822-10-02 00:00:00
node;imprimeur_lithographe;0;23270;23270;und;0;1814-09-17 00:00:00
node;imprimeur_lithographe;0;23271;23271;und;0;1826-02-12 00:00:00
node;imprimeur_lithographe;0;23272;23272;und;0;1829-08-19 00:00:00
node;imprimeur_lithographe;0;23273;23273;und;0;1820-10-07 00:00:00
node;imprimeur_lithographe;0;23274;23274;und;0;1827-08-12 00:00:00
node;imprimeur_lithographe;0;23276;23276;und;0;1825-06-15 00:00:00
node;imprimeur_lithographe;0;23277;23277;und;0;1826-04-17 00:00:00
node;imprimeur_lithographe;0;23278;23278;und;0;1822-12-10 00:00:00
node;imprimeur_lithographe;0;23288;23288;und;0;1819-04-27 00:00:00
node;imprimeur_lithographe;0;23289;23289;und;0;1835-04-24 00:00:00
node;imprimeur_lithographe;0;23290;23290;und;0;1832-02-20 00:00:00
node;imprimeur_lithographe;0;23291;23291;und;0;1834-09-27 00:00:00
node;imprimeur_lithographe;0;23292;23292;und;0;1828-06-10 00:00:00
node;imprimeur_lithographe;0;23293;23293;und;0;1834-05-12 00:00:00
node;imprimeur_lithographe;0;23294;23294;und;0;1795-12-30 00:00:00
node;imprimeur_lithographe;0;23295;23295;und;0;1834-12-03 00:00:00
node;imprimeur_lithographe;0;23296;23296;und;0;1802-09-05 00:00:00
node;imprimeur_lithographe;0;23297;23297;und;0;1829-05-09 00:00:00
node;imprimeur_lithographe;0;23298;23298;und;0;1825-09-23 00:00:00
node;imprimeur_lithographe;0;23299;23299;und;0;1811-10-12 00:00:00
node;imprimeur_lithographe;0;23300;23300;und;0;1810-07-21 00:00:00
node;imprimeur_lithographe;0;23301;23301;und;0;1798-07-16 00:00:00
node;imprimeur_lithographe;0;23302;23302;und;0;1821-06-14 00:00:00
node;imprimeur_lithographe;0;23303;23303;und;0;1817-07-07 00:00:00
node;imprimeur_lithographe;0;23304;23304;und;0;1827-05-30 00:00:00
node;imprimeur_lithographe;0;23305;23305;und;0;1834-01-08 00:00:00
node;imprimeur_lithographe;0;23306;23306;und;0;1815-07-08 00:00:00
node;imprimeur_lithographe;0;23307;23307;und;0;1788-05-22 00:00:00
node;imprimeur_lithographe;0;23308;23308;und;0;1808-10-14 00:00:00
node;imprimeur_lithographe;0;23309;23309;und;0;1831-08-09 00:00:00
node;imprimeur_lithographe;0;23310;23310;und;0;1817-09-25 00:00:00
node;imprimeur_lithographe;0;23311;23311;und;0;1811-04-11 00:00:00
node;imprimeur_lithographe;0;23312;23312;und;0;1788-02-05 00:00:00
node;imprimeur_lithographe;0;23313;23313;und;0;1811-11-21 00:00:00
node;imprimeur_lithographe;0;23315;23315;und;0;1802-04-06 00:00:00
node;imprimeur_lithographe;0;23316;23316;und;0;1821-10-13 00:00:00
node;imprimeur_lithographe;0;23317;23317;und;0;1828-08-11 00:00:00
node;imprimeur_lithographe;0;23318;23318;und;0;1804-07-31 00:00:00
node;imprimeur_lithographe;0;23319;23319;und;0;1799-06-24 00:00:00
node;imprimeur_lithographe;0;23320;23320;und;0;1807-09-18 00:00:00
node;imprimeur_lithographe;0;23321;23321;und;0;1763-11-15 00:00:00
node;imprimeur_lithographe;0;23322;23322;und;0;1841-11-17 00:00:00
node;imprimeur_lithographe;0;23323;23323;und;0;1841-03-27 00:00:00
node;imprimeur_lithographe;0;23324;23324;und;0;1826-08-04 00:00:00
node;imprimeur_lithographe;0;23325;23325;und;0;1835-06-14 00:00:00
node;imprimeur_lithographe;0;23326;23326;und;0;1835-09-15 00:00:00
node;imprimeur_lithographe;0;23327;23327;und;0;1812-11-07 00:00:00
node;imprimeur_lithographe;0;23328;23328;und;0;1781-05-01 00:00:00
node;imprimeur_lithographe;0;23329;23329;und;0;1789-01-09 00:00:00
node;imprimeur_lithographe;0;23330;23330;und;0;1810-09-13 00:00:00
node;imprimeur_lithographe;0;23331;23331;und;0;1798-04-24 00:00:00
node;imprimeur_lithographe;0;23332;23332;und;0;1803-12-15 00:00:00
node;imprimeur_lithographe;0;23333;23333;und;0;1809-03-03 00:00:00
node;imprimeur_lithographe;0;23334;23334;und;0;1815-06-04 00:00:00
node;imprimeur_lithographe;0;23335;23335;und;0;1816-01-07 00:00:00
node;imprimeur_lithographe;0;23336;23336;und;0;1801-10-19 00:00:00
node;imprimeur_lithographe;0;23337;23337;und;0;1828-08-18 00:00:00
node;imprimeur_lithographe;0;23338;23338;und;0;1801-12-18 00:00:00
node;imprimeur_lithographe;0;23339;23339;und;0;1816-01-18 00:00:00
node;imprimeur_lithographe;0;23340;23340;und;0;1794-03-04 00:00:00
node;imprimeur_lithographe;0;23341;23341;und;0;1800-01-07 00:00:00
node;imprimeur_lithographe;0;23342;23342;und;0;1821-06-11 00:00:00
node;imprimeur_lithographe;0;23343;23343;und;0;1821-04-02 00:00:00
node;imprimeur_lithographe;0;23344;23344;und;0;1824-04-14 00:00:00
node;imprimeur_lithographe;0;23345;23345;und;0;1821-09-06 00:00:00
