person_id	person_related_id	patent_id	type
3533	3560	3661	PARTNER
3430	2810	3556	PARTNER
2810	3430	2907	PARTNER
2185	5140	2260	PARTNER
5140	2185	5326	PARTNER
4851	1841	5026	PARTNER
502	3735	515	PARTNER
4441	1245	4604	PARTNER
256	737	266	PARTNER
1128	783	1162	PARTNER
5080	327	5263	PARTNER
5093	733	5276	PARTNER
733	5093	756	PARTNER
3541	701	3670	PARTNER
4114	3828	4264	PARTNER
3112	3107	3225	PARTNER
2113	2219	2186	PARTNER
1	4585	1	SUCCESSOR
12	3030	12	SUCCESSOR
18	4027	18	SUCCESSOR
19	4446	19	SUCCESSOR
20	1588	21	SUCCESSOR
28	1364	30	SUCCESSOR
40	41	42	SUCCESSOR
41	3461	43	SUCCESSOR
67	3058	70	SUCCESSOR
75	76	78	SUCCESSOR
76	279	79	SUCCESSOR
80	4068	83	SUCCESSOR
84	85	87	SUCCESSOR
85	4420	88	SUCCESSOR
95	4118	99	SUCCESSOR
103	2594	107	SUCCESSOR
113	4098	117	SUCCESSOR
118	728	122	SUCCESSOR
130	535	134	SUCCESSOR
131	1192	135	SUCCESSOR
136	2712	140	SUCCESSOR
139	3205	145	SUCCESSOR
137	2191	142	SUCCESSOR
167	4191	174	SUCCESSOR
168	1277	175	SUCCESSOR
170	1080	177	SUCCESSOR
178	5019	185	SUCCESSOR
182	4930	189	SUCCESSOR
189	1867	196	SUCCESSOR
190	4071	197	SUCCESSOR
199	4796	206	SUCCESSOR
201	2990	208	SUCCESSOR
209	2748	217	SUCCESSOR
221	3548	230	SUCCESSOR
224	3158	233	SUCCESSOR
229	1706	238	SUCCESSOR
242	243	251	SUCCESSOR
249	323	258	SUCCESSOR
164	875	171	SUCCESSOR
262	5051	272	SUCCESSOR
272	4397	282	SUCCESSOR
274	2907	284	SUCCESSOR
280	2845	290	SUCCESSOR
281	905	291	SUCCESSOR
316	4942	327	SUCCESSOR
319	1627	330	SUCCESSOR
320	319	331	SUCCESSOR
323	2799	334	SUCCESSOR
332	2051	343	SUCCESSOR
335	83	346	SUCCESSOR
339	3942	350	SUCCESSOR
340	2934	351	SUCCESSOR
343	1198	354	SUCCESSOR
345	220	356	SUCCESSOR
353	4949	364	SUCCESSOR
358	113	369	SUCCESSOR
360	1602	371	SUCCESSOR
373	4846	384	SUCCESSOR
381	3338	392	SUCCESSOR
384	3617	395	SUCCESSOR
387	1452	398	SUCCESSOR
427	600	438	SUCCESSOR
428	3674	439	SUCCESSOR
437	3880	448	SUCCESSOR
440	636	452	SUCCESSOR
445	1604	457	SUCCESSOR
447	4641	459	SUCCESSOR
451	2531	463	SUCCESSOR
466	4535	479	SUCCESSOR
486	1635	499	SUCCESSOR
489	2061	502	SUCCESSOR
494	722	507	SUCCESSOR
513	3798	527	SUCCESSOR
515	1540	530	SUCCESSOR
526	2292	541	SUCCESSOR
552	1210	567	SUCCESSOR
562	4892	578	SUCCESSOR
565	3097	581	SUCCESSOR
566	796	582	SUCCESSOR
573	1429	589	SUCCESSOR
574	429	590	SUCCESSOR
584	4553	601	SUCCESSOR
579	4606	596	SUCCESSOR
3167	3923	3283	SUCCESSOR
577	3440	593	SUCCESSOR
597	4235	614	SUCCESSOR
598	2546	615	SUCCESSOR
599	494	616	SUCCESSOR
606	2144	624	SUCCESSOR
611	2323	629	SUCCESSOR
612	3841	630	SUCCESSOR
613	4006	631	SUCCESSOR
614	4901	632	SUCCESSOR
619	2237	637	SUCCESSOR
626	3301	644	SUCCESSOR
632	1070	651	SUCCESSOR
649	2929	668	SUCCESSOR
660	4799	679	SUCCESSOR
663	5146	682	SUCCESSOR
666	2154	685	SUCCESSOR
670	3189	690	SUCCESSOR
683	1362	703	SUCCESSOR
684	4695	704	SUCCESSOR
686	384	706	SUCCESSOR
692	3708	713	SUCCESSOR
696	697	717	SUCCESSOR
699	485	720	SUCCESSOR
700	3948	721	SUCCESSOR
701	4040	722	SUCCESSOR
704	3977	725	SUCCESSOR
707	709	728	SUCCESSOR
712	1627	734	SUCCESSOR
713	1546	735	SUCCESSOR
714	4237	736	SUCCESSOR
720	1101	742	SUCCESSOR
721	2841	744	SUCCESSOR
746	1970	770	SUCCESSOR
752	964	776	SUCCESSOR
766	2662	790	SUCCESSOR
767	4466	791	SUCCESSOR
771	580	795	SUCCESSOR
793	2352	817	SUCCESSOR
797	413	821	SUCCESSOR
802	3694	826	SUCCESSOR
807	2934	831	SUCCESSOR
815	515	840	SUCCESSOR
823	873	848	SUCCESSOR
837	4135	862	SUCCESSOR
839	632	864	SUCCESSOR
857	856	882	SUCCESSOR
867	1556	892	SUCCESSOR
868	3427	893	SUCCESSOR
869	4685	894	SUCCESSOR
870	4263	895	SUCCESSOR
872	3466	897	SUCCESSOR
880	5081	905	SUCCESSOR
882	3830	907	SUCCESSOR
883	2332	908	SUCCESSOR
886	4832	911	SUCCESSOR
900	3120	926	SUCCESSOR
905	1660	931	SUCCESSOR
906	5046	932	SUCCESSOR
937	1755	964	SUCCESSOR
946	779	973	SUCCESSOR
948	949	975	SUCCESSOR
958	1681	986	SUCCESSOR
981	1091	1009	SUCCESSOR
998	3100	1027	SUCCESSOR
999	2720	1028	SUCCESSOR
1006	815	1035	SUCCESSOR
1011	4662	1041	SUCCESSOR
1015	714	1045	SUCCESSOR
1032	385	1062	SUCCESSOR
1039	3253	1070	SUCCESSOR
1040	1704	1071	SUCCESSOR
1052	4581	1083	SUCCESSOR
1062	2581	1094	SUCCESSOR
1066	949	1098	SUCCESSOR
1069	1071	1101	SUCCESSOR
1071	4850	1103	SUCCESSOR
1072	199	1104	SUCCESSOR
1080	2518	1113	SUCCESSOR
1083	2450	1116	SUCCESSOR
1088	3182	1121	SUCCESSOR
1091	3953	1124	SUCCESSOR
1095	121	1128	SUCCESSOR
1102	2532	1135	SUCCESSOR
1115	427	1149	SUCCESSOR
1141	2341	1175	SUCCESSOR
1157	3623	1192	SUCCESSOR
1172	4480	1208	SUCCESSOR
1175	1118	1211	SUCCESSOR
1191	1453	1227	SUCCESSOR
1192	3366	1228	SUCCESSOR
1196	201	1233	SUCCESSOR
1197	1937	1234	SUCCESSOR
1203	4493	1240	SUCCESSOR
1210	4518	1247	SUCCESSOR
1212	4374	1249	SUCCESSOR
1226	3747	1263	SUCCESSOR
1227	1226	1264	SUCCESSOR
1244	3562	1283	SUCCESSOR
1243	2964	1282	SUCCESSOR
1254	5133	1294	SUCCESSOR
1291	3241	1334	SUCCESSOR
1323	3705	1368	SUCCESSOR
1344	2134	1390	SUCCESSOR
1347	2516	1393	SUCCESSOR
1350	1579	1396	SUCCESSOR
1354	4609	1400	SUCCESSOR
1360	335	1406	SUCCESSOR
1361	428	1407	SUCCESSOR
1364	3368	1410	SUCCESSOR
1365	1021	1411	SUCCESSOR
1378	2094	1425	SUCCESSOR
1385	1584	1432	SUCCESSOR
1387	506	1434	SUCCESSOR
1407	566	1454	SUCCESSOR
1411	5104	1458	SUCCESSOR
1420	684	1467	SUCCESSOR
