ID	label	reference_url	filename	iiif_url	image_type	filesys_path
6711	Moulin et villa (Bagnères-Bigorre), 1840	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b10573548c		https://gallica.bnf.fr/iiif/ark:/12148/btv1b10573548c/f1/full/1000,/0/native.jpg	iconographie	
6712	Costumes (Bagnères-Bigorre), 1840	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b105721796		https://gallica.bnf.fr/iiif/ark:/12148/btv1b105721796/f1/full/1000,/0/native.jpg	iconographie	
6713	Marbrerie Géruzet (Bagnères-Bigorre), 1840	https://bibnumerique.mediatheque-bagneresdebigorre.fr/idurl/1/368			iconographie	
6714	La prison, l'hospice et les thermes (Bagnères-Bigorre), 1840	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b105735451	coulon2.jpeg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b105735451/f1/full/1000,/0/native.jpg	carrousel	public://coulon2.jpeg
6715	Tour des Jacobins (Bagnères-Bigorre), 1840, lithographie en couleurs	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b105735506		https://gallica.bnf.fr/iiif/ark:/12148/btv1b105735506/f1/full/1000,/0/native.jpg	iconographie	
6716	Le Basque (Gascogne) - The Basque - Der Baske	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b105735184		https://gallica.bnf.fr/iiif/ark:/12148/btv1b105735184/f1/full/1000,/0/native.jpg	iconographie	
6717	Cauterets - Cascade du Cérizet (vignette au titre)	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b10572320v		https://gallica.bnf.fr/iiif/ark:/12148/btv1b10572320v/f1/full/1000,/0/native.jpg	iconographie	
6718	Budget - Reboisement	https://gallica.bnf.fr/ark:/12148/bpt6k53401628		https://gallica.bnf.fr/iiif/ark:/12148/bpt6k53401628/f1/full/1000,/0/native.jpg	iconographie	
6719	Eaux-Bonnes, version en couleurs	https://gallica.bnf.fr/ark:/12148/btv1b105735597		https://gallica.bnf.fr/iiif/ark:/12148/btv1b105735597/f1/full/1000,/0/native.jpg	iconographie	
6720	Eaux-Bonnes	https://gallica.bnf.fr/ark:/12148/btv1b10573558s		https://gallica.bnf.fr/iiif/ark:/12148/btv1b10573558s/f1/full/1000,/0/native.jpg	iconographie	
6721	Costumes des Basses Pyrénées	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b10572176v		https://gallica.bnf.fr/iiif/ark:/12148/btv1b10572176v/f1/full/1000,/0/native.jpg	iconographie	
6722	Perpignan (Pyrénées orientales), Vues des chefs lieux de la France	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b10572159c		https://gallica.bnf.fr/iiif/ark:/12148/btv1b10572159c/f1/full/1000,/0/native.jpg	iconographie	
6723	Toulouse (Haute-Garonne), Vues des chefs lieux de la France	https://commons.wikimedia.org/wiki/File:Toulouse_(Haute_Garonne)_-_Fonds_Ancely_-_B315556101_A_MONTHELIER_2_004.jpg			iconographie	
6724	Une visite au bon Henri, suivie d'une excursion en Guipuscon par Bayonne. Texte par G. de Clausade et dessins par E. de Malbos	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b105732235		https://gallica.bnf.fr/iiif/ark:/12148/btv1b105732235/f1/full/1000,/0/native.jpg	iconographie	
6725	Une visite au bon Henri, suivie d'une excursion en Guipuscon par Bayonne. Texte par G. de Clausade et dessins par E. de Malbos	http://numerique.bibliotheque.toulouse.fr/ark:/74899/B315556101_A_MALBOS_2_002			iconographie	
6726	Croquis d'un élève de M. Latour par E. de Malbos	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b10573201f		https://gallica.bnf.fr/iiif/ark:/12148/btv1b10573201f/f1/full/1000,/0/native.jpg	iconographie	
6727	Département de la Drôme, carte, 1854	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b10571898w		https://gallica.bnf.fr/iiif/ark:/12148/btv1b10571898w/f1/full/1000,/0/native.jpg	iconographie	
6728	Vallée d'Ossau	http://numerique.bibliotheque.toulouse.fr/ark:/74899/B315556101_A_LEJEUNE_005			iconographie	
6729	Frontispice : Album des deux Frontières - France - 1ère partie - Cimetière des Anglais (Environs de Bayonne)	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b10572966g		https://gallica.bnf.fr/iiif/ark:/12148/btv1b10572966g/f1/full/1000,/0/native.jpg	iconographie	
6730	Album pittoresque et historique des Pyrénées par A. Fourcade, 1835	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/bpt6k53401910		https://gallica.bnf.fr/iiif/ark:/12148/bpt6k53401910/f1/full/1000,/0/native.jpg	iconographie	
6731	Excursion dans les Pyrénées, composée de 100 croquis pittoresques, Paris 1837	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/bpt6k5340654f		https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5340654f/f1/full/1000,/0/native.jpg	iconographie	
6732	Chapelle, Côté nord, abside	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b105729132		https://gallica.bnf.fr/iiif/ark:/12148/btv1b105729132/f1/full/1000,/0/native.jpg	iconographie	
6733	Le Jura pittoresque. 24 vues lithographiées, représentant les sites, monuments & ruines historiques, ouvrages d'art, etc. du dépt du Jura	http://patrimoine-archives.grand-dole.fr/search?query=ravignat&search-query=&search-query=1&sort=_score%3Adesc&view=list			iconographie	
6734	Toulouse monumentale et pittoresque	http://tolosana.univ-toulouse.fr/fr/notice/163969116			iconographie	
6735	Aux fleurs des Champs 1860 Adrot. Parfumerie et savonnerie fine, 1860	http://silos.ville-chaumont.fr/floraoai/jsp/index_view_direct_anonymous.jsp?record=default:UNIMARC:80660			iconographie	
6736	Carte des Environs de Paris publiée par la Librairie Chaix	http://silos.ville-chaumont.fr/floraoai/jsp/index_view_direct_anonymous.jsp?record=default:UNIMARC:79779			iconographie	
6737	Gran Plaza de Toros du Bois de Boulogne , affiche	http://silos.ville-chaumont.fr/floraoai/jsp/index_view_direct_anonymous.jsp?record=default:UNIMARC:79423			iconographie	
6738	Le Nil, affiche en couleurs	http://silos.ville-chaumont.fr/flora/jsp/index_view_direct_anonymous.jsp?record=default:UNIMARC:81192			iconographie	
6739	Encres Naquet , affiche	http://silos.ville-chaumont.fr/flora/jsp/index_view_direct_anonymous.jsp?record=default:UNIMARC:81146			iconographie	
6740	Biberon-pompe, Monchovaut, affiche	http://silos.ville-chaumont.fr/flora/jsp/index_view_direct_anonymous.jsp?record=default:UNIMARC:80199			iconographie	
6741	Alexandre Fouret. Ex. écuyer et clown du cirque Bastien Franconi et sa famille	http://silos.ville-chaumont.fr/flora/jsp/index_view_direct_anonymous.jsp?record=default:UNIMARC:79974			iconographie	
6742	Vue de Dijon.1822.	http://patrimoine.bm-dijon.fr/pleade/img-viewer/FR212316101__est_dij__Est_CI_I_0001__01/viewer.html?name=FR212316101__est_dij__Est_CI_I_0001__01.jpg&ns=FR212316101__est_dij__Est_CI_I_0001__01.jpg			iconographie	
6743	Tour Fondoire et boulevard de Guise	http://patrimoine.bm-dijon.fr/pleade/img-viewer/FR212316101__est_dij__Est_AT_IX_0002__01/viewer.html?name=FR212316101__est_dij__Est_AT_IX_0002__01.jpg			iconographie	
6744	Vues de Dijon. Château du côté de la campagne.	http://patrimoine.bm-dijon.fr/pleade/img-viewer/FR212316101__est_dij__Est_AS_III_0001__01/viewer.html?name=FR212316101__est_dij__Est_AS_III_0001__01.jpg&ns=FR212316101__est_dij__Est_AS_III_0001__01.jpg			iconographie	
6745	Devinette avec objet caché. Image publicitaire.	http://patrimoine-archives.grand-dole.fr/ark:/naan/a0114608219660UjYPL/c784b71de3			iconographie	
6746	Théâtre de Foix, programme du samedi 23 février 1895	http://numerique.bibliotheque.toulouse.fr/ark:/74899/B315556101_RB19_000336			iconographie	
6747	A la maison de Paris. Les Lapins. Le duel. Carte publicitaire.	http://patrimoine-archives.grand-dole.fr/ark:/naan/a011460812403joptUH/e8a3bfd886			iconographie	
6748	Histoire d'un trésor perdu retrouvé par des plongeurs. Carte publicitaire.	http://patrimoine-archives.grand-dole.fr/ark:/naan/a011429538834GUc5vO/c773b08ea0			iconographie	
6749	Histoire d'un garçon de cuisine et de sa petite amie. Carte publicitaire.	http://patrimoine-archives.grand-dole.fr/ark:/naan/a0114285251957t9gds/8e26889fe8			iconographie	
6750	La guerre franco-tunisienne. 1881. Carte publicitaire.	http://patrimoine-archives.grand-dole.fr/ark:/naan/a011428506467aG95ZB/e471b1476c			iconographie	
6751	Album du dessinateur franc-comtois ou vues pittoresques et historiques de la Franche-Comté, dessinées par M. Lainé et lithographiées par M. Pointurier	http://patrimoine-archives.grand-dole.fr/ark:/55063/e3f08b2ccd			iconographie	
6752	Louis Nicole, dessiné par Pointurier fils, 1831. Lithographie de Pointurier à Dole.	http://patrimoine-archives.grand-dole.fr/ark:/55063/748a6eabde			iconographie	
6753	Vue de Dole prise du faubourg dit La Bedugue, 1843.	http://patrimoine-archives.grand-dole.fr/ark:/55063/0c5fc84da0			iconographie	
6754	Jeu des mystères de Paris	http://parismuseescollections.paris.fr/fr/musee-carnavalet/oeuvres/jeu-des-mysteres-de-paris			iconographie	
6755	À la fleur des épiciers	http://parismuseescollections.paris.fr/fr/musee-carnavalet/oeuvres/a-la-fleur-des-epiciers			iconographie	
6756	Description géologique et paléontologique des Pyrénées de la Haute-Garonne... par A. Leymerie, ... ; (Ed. par Louis Lartet ; Precede d'un avis de E. Privat ; Tables par Caralp et Bayle. Tome 1) Description géologique et paléontologique des Pyrénées de la	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/bpt6k5393098v		https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5393098v/f1/full/1000,/0/native.jpg	iconographie	
6757	Catalogue raisonné des oiseaux observés dans les Pyrénées françaises et les régions limitrophes	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/bpt6k1290202n		https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1290202n/f1/full/1000,/0/native.jpg	iconographie	
6758	A paysan of the Valley of Aspe, lithographie en couleurs, 1830-1832	http://numerique.bibliotheque.toulouse.fr/ark:/74899/B315556101_A_HARDING_022			iconographie	
6759	Bernadette, portrait	https://rosalis.bibliotheque.toulouse.fr/ark:/12148/btv1b10572909b		https://gallica.bnf.fr/iiif/ark:/12148/btv1b10572909b/f1/full/1000,/0/native.jpg	iconographie	
6760	"J. Delpech, De l'Orthomorphie par rapport à l'espèce humaine, ou Recherches anatomico-pathologiques sur les causes, les moyens de prévenir, ceux de guérir les principales difformités, et sur les véritables fondemens de l'art appelé ""orthopédique, Paris :"	http://www.biusante.parisdescartes.fr/histmed/image?00247			iconographie	
6761	La Dame aux camélias, par Alexandre Dumas fils. Les Bons romans journal illustré, passage Colbert 26 : [affiche], 1865	http://gallica.bnf.fr/ark:/12148/btv1b9015903g/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b9015903g/f1/full/1000,/0/native.jpg	iconographie	
6762	Les Nuits de Paris... par Paul Féval : [affiche], 1851	http://gallica.bnf.fr/ark:/12148/btv1b9017297r/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b9017297r/f1/full/1000,/0/native.jpg	iconographie	
6763	Salon des Cent, Affiche. 1890.	http://gallica.bnf.fr/ark:/12148/btv1b90172221/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b90172221/f1/full/1000,/0/native.jpg	iconographie	
