nid;vid;type;language;title;uid;status;created;changed;comment;promote;sticky;tnid;translate;uuid
21601;21601;imprimeur_lithographe;und;BAROUSSE;0;1;1371915698;1558449633;1;0;0;0;0;c2bddc41-1828-4bb2-816b-b25ed9691bbe
21602;21602;imprimeur_lithographe;und;BAROUSSE;0;1;1371915698;1617722353;1;0;0;0;0;c4b465e5-73ef-419c-a645-f668666f025c
21603;21603;imprimeur_lithographe;und;BARRE;0;1;1371915698;1564937690;1;0;0;0;0;a740d3d6-1c63-4556-933c-8eaa470b0e37
21604;21604;imprimeur_lithographe;und;BARROIS;0;1;1371915698;1539274930;1;0;0;0;0;5f186eba-9c11-4480-8d2d-983fa0e5b74d
21605;21605;imprimeur_lithographe;und;BARTHE;0;1;1371915698;1588154590;1;0;0;0;0;bff6ece1-1126-4415-bb18-c7daf1051daf
21606;21606;imprimeur_lithographe;und;BACLE;0;1;1371915698;1589380371;1;0;0;0;0;24813d2b-278f-4f31-8211-bf64b93b1a3f
21607;21607;imprimeur_lithographe;und;BASTARD;0;1;1371915698;1478445773;1;0;0;0;0;14cd7fe0-3e9a-462c-9323-46cabf69a2ce
21608;21608;imprimeur_lithographe;und;BASTER;0;1;1371915698;1675509632;1;0;0;0;0;a73525e0-acc6-482b-b16e-ed3a42cc269a
21609;21609;imprimeur_lithographe;und;BASTIEN;0;1;1371915698;1546104360;1;0;0;0;0;1bc106f1-0fb8-47f0-83d2-630670a86793
21610;21610;imprimeur_lithographe;und;BATAILLE;0;1;1371915698;1546104464;1;0;0;0;0;96755dc1-c02b-4d4f-9535-078020a38d81
21611;21611;imprimeur_lithographe;und;BATAILLE;0;1;1371915698;1555708714;1;0;0;0;0;761f1cf9-26fc-40d6-a87f-baba3b1383f0
21612;21612;imprimeur_lithographe;und;BAUDELOT, veuve SEGUIN;0;1;1371915698;1531411667;1;0;0;0;0;148c5786-22a7-483a-932f-7d5ad93dec2f
21613;21613;imprimeur_lithographe;und;BAUDET;0;1;1371915698;1582736400;1;0;0;0;0;a2f7ea4b-adf2-4c45-bcd6-a8e9966d1969
21614;21614;imprimeur_lithographe;und;BAUDOT;0;1;1371915698;1532081601;1;0;0;0;0;62709113-fecb-4644-80f7-2c177509b5b4
21615;21615;imprimeur_lithographe;und;BAUDOUIN;0;1;1371915698;1722262388;1;0;0;0;0;414e68cf-e8b0-45e1-8dda-996fabd7be8f
21616;21616;imprimeur_lithographe;und;BAUDRIER;0;1;1371915698;1532081697;1;0;0;0;0;e04daf70-b6df-4fbf-b5d7-f8570095ae9c
21617;21617;imprimeur_lithographe;und;BAUGEAN;0;1;1371915698;1609842748;1;0;0;0;0;37b42a59-bd8a-44a9-8823-9f3d01cbace6
21618;21618;imprimeur_lithographe;und;BAUVE;0;1;1371915698;1588154706;1;0;0;0;0;da4bd9d4-1bf6-4148-b55b-b76d4fc51f85
21619;21619;imprimeur_lithographe;und;BAYLAC;0;1;1371915698;1531328135;1;0;0;0;0;1f482cfb-d4f0-43c2-8a89-993534b196a1
21620;21620;imprimeur_lithographe;und;BAZIN;0;1;1371915698;1531327033;1;0;0;0;0;59f63f25-4250-4e80-bf83-4cba5b7e1e40
21621;21621;imprimeur_lithographe;und;BECHDOLFF;0;1;1371915698;1532081988;1;0;0;0;0;bf5834e2-5fa0-4b4b-ac12-7f5de9b6d9f9
21622;21622;imprimeur_lithographe;und;BECQ;0;1;1371915698;1532082895;1;0;0;0;0;a2ed78da-0734-43f1-b445-e3d919855709
21623;21623;imprimeur_lithographe;und;BECQUET;0;1;1371915698;1618163492;1;0;0;0;0;0e8b030e-656f-4451-b793-cf94678c02ca
21624;21624;imprimeur_lithographe;und;BECQUET;0;1;1371915698;1582880065;1;0;0;0;0;6c5b1e03-58b4-4ead-99dd-a6eb5fb78427
21625;21625;imprimeur_lithographe;und;BECQUET;0;1;1371915698;1601116986;1;0;0;0;0;f087082f-bbfd-43f4-890a-2464b85064ac
21626;21626;imprimeur_lithographe;und;BÉCRIAUX;0;1;1371915698;1532108338;1;0;0;0;0;eec6562d-738e-409e-90aa-528f5ad5210e
21627;21627;imprimeur_lithographe;und;BÉCU;0;1;1371915698;1631693805;1;0;0;0;0;59538b54-141c-4e02-9015-547f6b3446f4
21628;21628;imprimeur_lithographe;und;BÉDELET;0;1;1371915698;1582974096;1;0;0;0;0;e08edb56-73dd-4ae9-80e5-cf2e9bbc32b8
21629;21629;imprimeur_lithographe;und;BÉJOT;0;1;1371915698;1532254748;1;0;0;0;0;5f467aca-2b88-48fe-a4cc-713973f337b3
21630;21630;imprimeur_lithographe;und;BELLESSORD;0;1;1371915698;1546105586;1;0;0;0;0;d2853baa-2718-4621-aed7-144f0c0c581c
21754;21754;imprimeur_lithographe;fr;Import2;1;0;1371916107;1371984521;1;0;0;0;0;52cb1fcc-597f-4fd0-ba47-05950db41952
21855;21855;imprimeur_lithographe;fr;Import2;1;0;1371916200;1371984534;1;0;0;0;0;2089c8f4-5330-4b57-af8c-64ef6c4fc4e1
21856;21856;imprimeur_lithographe;und;BELHOMME;0;1;1371916203;1569341615;1;0;0;0;0;3c0ece8d-822a-407c-a5a9-e55754068b8b
21857;21857;imprimeur_lithographe;und;BELIN;0;1;1371916203;1532270249;1;0;0;0;0;b439f938-b46e-4312-8bd6-97c04f630c66
21858;21858;imprimeur_lithographe;und;BELIN;0;1;1371916203;1600105512;1;0;0;0;0;2ced2305-2a28-416f-93a1-1b6448ab1f44
21859;21859;imprimeur_lithographe;und;BELLAVOINE;0;1;1371916203;1532597444;1;0;0;0;0;989b4972-82b5-4bea-8f7c-e7f470810bd7
21860;21860;imprimeur_lithographe;und;BELLEMAIN;0;1;1371916203;1546105242;1;0;0;0;0;1e1a6b43-3da3-42f4-b6fe-7632b0da3605
21861;21861;imprimeur_lithographe;und;BELLEVILLE;0;1;1371916203;1553541340;1;0;0;0;0;fd89ec96-ac70-41da-ad74-e28bb8b88433
21862;21862;imprimeur_lithographe;und;BELLIARD;0;1;1371916203;1715706969;1;0;0;0;0;cfb1acae-7968-406e-9270-0f237a033d87
21863;21863;imprimeur_lithographe;und;BELLIER, veuve JARLE;0;1;1371916203;1553541223;1;0;0;0;0;23580046-a44e-4f42-af28-b3af8c5b6a89
21864;21864;imprimeur_lithographe;und;BELNOS;0;1;1371916203;1532354821;1;0;0;0;0;bb6cff86-7328-4fc5-8c2c-b9794e34e013
21865;21865;imprimeur_lithographe;und;BELOU;0;1;1371916203;1532533156;1;0;0;0;0;7036c8f0-ef9b-41f3-9710-e00ee93446a9
21866;21866;imprimeur_lithographe;und;BENARD;0;1;1371916203;1678361221;1;0;0;0;0;e5a7323b-465d-4754-8b95-c14b9bb7f9da
21867;21867;imprimeur_lithographe;und;BERDALLE de la POMMERAYE dit BERALDI;0;1;1371916203;1557734904;1;0;0;0;0;5bc621c9-9aa5-439e-aa63-af72fa84b6ce
21868;21868;imprimeur_lithographe;und;BERGER;0;1;1371916203;1713715960;1;0;0;0;0;06eab8c7-9bc1-439d-94c5-2cbd7a47d462
21869;21869;imprimeur_lithographe;und;BERGERAT, veuve GENTY;0;1;1371916203;1636126607;1;0;0;0;0;0337a55a-2723-40e6-bca8-92ac90ca939c
21870;21870;imprimeur_lithographe;und;BERLE;0;1;1371916203;1544285029;1;0;0;0;0;1fdfe244-1d09-4fde-8b96-d761bac8e3b9
21871;21871;imprimeur_lithographe;und;BERNAIN;0;1;1371916203;1556274914;1;0;0;0;0;21f3a70e-3f84-4226-bbf0-12b3aff77288
21872;21872;imprimeur_lithographe;und;BERNARD;0;1;1371916203;1636555960;1;0;0;0;0;2a457aec-3187-4ce2-81a6-3428086471c2
21873;21873;imprimeur_lithographe;und;BERNARD;0;1;1371916203;1532597164;1;0;0;0;0;77cbc957-70f8-467f-9747-c64531bbf802
21874;21874;imprimeur_lithographe;und;BÉROT;0;1;1371916203;1553541456;1;0;0;0;0;9497c3ad-bdf3-456d-9b4b-c0a032049231
21875;21875;imprimeur_lithographe;und;BERTHET;0;1;1371916203;1532523323;1;0;0;0;0;4cb3d7d0-c037-4328-835f-58da5d5c7700
21876;21876;imprimeur_lithographe;und;BERTHIER;0;1;1371916203;1705305135;1;0;0;0;0;26807a8d-9dfe-4e46-8559-968a5f1112b7
21877;21877;imprimeur_lithographe;und;BERTIER;0;1;1371916203;1532510081;1;0;0;0;0;1ec90b99-963a-4551-87ae-1632455e482c
21878;21878;imprimeur_lithographe;und;BÈS;0;1;1371916203;1561065083;1;0;0;0;0;48f2989a-2695-4ca2-8e7c-4050f2334760
21879;21879;imprimeur_lithographe;und;BESSAIGNET;0;1;1371916203;1543943803;1;0;0;0;0;4eaeb0f1-4c36-4ced-9aa5-7ebac25f2393
21880;21880;imprimeur_lithographe;und;BESSES;0;1;1371916203;1533062319;1;0;0;0;0;ae68a57e-c725-4b56-a316-219cbc216f81
21881;21881;imprimeur_lithographe;und;BESSON;0;1;1371916203;1533060022;1;0;0;0;0;bfd400c1-6ec2-45e9-a110-2335cd8b28c1
21882;21882;imprimeur_lithographe;und;BÉTREMIEUX;0;1;1371916203;1604427002;1;0;0;0;0;af7988f8-b108-48b9-b0ed-193b4752dff8
21883;21883;imprimeur_lithographe;und;BIARDOT;0;1;1371916203;1533235787;1;0;0;0;0;743d873f-591e-438c-8c24-2cf898c8bbda
21884;21884;imprimeur_lithographe;und;BICHEBOIS;0;1;1371916203;1671478096;1;0;0;0;0;fbcaccd8-eed5-4421-9e02-012515fd428c
21885;21885;imprimeur_lithographe;und;BILLARD;0;1;1371916203;1587672799;1;0;0;0;0;75a1875f-381e-4075-b29b-277cb0a7c3db
21886;21886;imprimeur_lithographe;und;BILLARDEL;0;1;1371916203;1572710867;1;0;0;0;0;e27a81c3-4ece-4980-8b41-e1b2fdc57ec6
21887;21887;imprimeur_lithographe;und;BILLARDEL;0;1;1371916203;1545587078;1;0;0;0;0;6b703f4f-02ef-4abf-ba4f-82774ffb4377
21888;21888;imprimeur_lithographe;und;DUBOST, épouse BIMONT;0;1;1371916203;1588870538;1;0;0;0;0;14939117-e545-4807-99ff-aa2500c05cdc
21889;21889;imprimeur_lithographe;und;BINETEAU;0;1;1371916203;1658759383;1;0;0;0;0;2550ec8e-fddf-4f07-9198-7cd964312500
21890;21890;imprimeur_lithographe;und;BLANC;0;1;1371916203;1533115572;1;0;0;0;0;e317ca59-d4ab-4885-8128-ab2cd7ea712a
21891;21891;imprimeur_lithographe;und;BLANCHARD;0;1;1371916203;1533235313;1;0;0;0;0;9d021880-f728-4980-beb7-844f2d308223
21892;21892;imprimeur_lithographe;und;BLÉZIMAR;0;1;1371916203;1608637285;1;0;0;0;0;66c217f1-06ad-4b38-9ed6-06022d886d6d
21893;21893;imprimeur_lithographe;und;BLOC;0;1;1371916203;1533114708;1;0;0;0;0;3165578c-ca9c-4585-839f-57bdc2d892e7
21894;21894;imprimeur_lithographe;und;BLOT;0;1;1371916203;1596214618;1;0;0;0;0;13605f96-0cb9-4b0d-a898-316e4321d467
21895;21895;imprimeur_lithographe;und;BLOÜET;0;1;1371916203;1588155273;1;0;0;0;0;750b31c0-fc1d-4edd-a415-0964283f84e9
21896;21896;imprimeur_lithographe;und;BOBOEUF;0;1;1371916203;1681138458;1;0;0;0;0;85c89e11-783a-454b-98e0-270550d3bc14
21897;21897;imprimeur_lithographe;und;BODEREAU;0;1;1371916203;1533646709;1;0;0;0;0;9de49b53-2c09-46eb-a191-ef0dcc24fcbf
21898;21898;imprimeur_lithographe;und;BODIN;0;1;1371916203;1533648924;1;0;0;0;0;7a39c91f-291e-4a2f-8784-5dffe4a3ed08
21899;21899;imprimeur_lithographe;und;BOGNARD;0;1;1371916203;1676407670;1;0;0;0;0;665f9579-b782-4a64-ba23-d41499d809d1
21900;21900;imprimeur_lithographe;und;BOISGONTIER;0;1;1371916203;1627723907;1;0;0;0;0;e8724ec9-30f8-482f-874a-0e12ffd92170
21901;21901;imprimeur_lithographe;und;BOISGONTIER;0;1;1371916203;1536597269;1;0;0;0;0;88b7ad3f-d5b3-46a0-8b86-bfb365acdbbf
21902;21902;imprimeur_lithographe;und;BOISSEAU;0;1;1371916203;1569414738;1;0;0;0;0;7785ca11-be0d-4bb4-8d3c-7b00f95686a4
21903;21903;imprimeur_lithographe;und;BON;0;1;1371916203;1583253138;1;0;0;0;0;8424eda2-b338-4038-925c-fa5757a295ef
21904;21904;imprimeur_lithographe;und;BONNAIRE;0;1;1371916203;1536830058;1;0;0;0;0;04b6fa31-a668-40ca-9bd0-605f91fec7a1
