entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_date_de_fin_du_brevet_value
node;imprimeur_lithographe;0;10999;10999;und;0;1851-11-10 00:00:00
node;imprimeur_lithographe;0;11003;11003;und;0;1856-04-08 00:00:00
node;imprimeur_lithographe;0;11022;11022;und;0;1850-06-12 00:00:00
node;imprimeur_lithographe;0;11023;11023;und;0;1876-11-01 00:00:00
node;imprimeur_lithographe;0;11026;11026;und;0;1851-07-03 00:00:00
node;imprimeur_lithographe;0;11033;11033;und;0;1862-04-08 00:00:00
node;imprimeur_lithographe;0;11039;11039;und;0;1850-06-12 00:00:00
node;imprimeur_lithographe;0;11045;11045;und;0;1857-10-08 00:00:00
node;imprimeur_lithographe;0;11046;11046;und;0;1858-05-07 00:00:00
node;imprimeur_lithographe;0;11051;11051;und;0;1856-04-02 00:00:00
node;imprimeur_lithographe;0;11052;11052;und;0;1713-05-09 20:46:00
node;imprimeur_lithographe;0;11053;11053;und;0;1873-08-12 00:00:00
node;imprimeur_lithographe;0;11067;11067;und;0;1856-04-02 00:00:00
node;imprimeur_lithographe;0;21531;21531;und;0;1859-05-24 00:00:00
node;imprimeur_lithographe;0;21533;21533;und;0;1865-01-20 00:00:00
node;imprimeur_lithographe;0;21534;21534;und;0;1851-01-30 00:00:00
node;imprimeur_lithographe;0;21536;21536;und;0;1864-10-25 00:00:00
node;imprimeur_lithographe;0;21537;21537;und;0;1860-01-23 00:00:00
node;imprimeur_lithographe;0;21538;21538;und;0;1841-10-18 00:00:00
node;imprimeur_lithographe;0;21540;21540;und;0;1861-02-28 00:00:00
node;imprimeur_lithographe;0;21541;21541;und;0;1851-10-11 00:00:00
node;imprimeur_lithographe;0;21544;21544;und;0;1852-10-26 00:00:00
node;imprimeur_lithographe;0;21545;21545;und;0;1856-08-04 00:00:00
node;imprimeur_lithographe;0;21550;21550;und;0;1855-07-23 00:00:00
node;imprimeur_lithographe;0;21552;21552;und;0;1854-03-16 00:00:00
node;imprimeur_lithographe;0;21553;21553;und;0;1861-07-08 00:00:00
node;imprimeur_lithographe;0;21555;21555;und;0;1851-07-31 00:00:00
node;imprimeur_lithographe;0;21557;21557;und;0;1849-04-21 00:00:00
node;imprimeur_lithographe;0;21558;21558;und;0;1869-07-02 00:00:00
node;imprimeur_lithographe;0;21559;21559;und;0;1849-03-12 00:00:00
node;imprimeur_lithographe;0;21560;21560;und;0;1854-11-27 00:00:00
node;imprimeur_lithographe;0;21561;21561;und;0;1851-12-24 00:00:00
node;imprimeur_lithographe;0;21565;21565;und;0;1850-12-06 00:00:00
node;imprimeur_lithographe;0;21566;21566;und;0;1876-01-11 00:00:00
node;imprimeur_lithographe;0;21568;21568;und;0;1854-07-13 00:00:00
node;imprimeur_lithographe;0;21570;21570;und;0;1847-09-10 00:00:00
node;imprimeur_lithographe;0;21571;21571;und;0;1853-12-12 00:00:00
node;imprimeur_lithographe;0;21572;21572;und;0;1862-05-03 00:00:00
node;imprimeur_lithographe;0;21578;21578;und;0;1858-07-13 00:00:00
node;imprimeur_lithographe;0;21579;21579;und;0;1828-05-12 00:00:00
node;imprimeur_lithographe;0;21581;21581;und;0;1851-01-16 00:00:00
node;imprimeur_lithographe;0;21582;21582;und;0;1860-04-07 00:00:00
