entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_illustration_fid;field_illustration_alt;field_illustration_title;field_illustration_width;field_illustration_height
node;imprimeur_lithographe;0;22362;22362;und;0;3278;"";En-tête de lettre. [A.N.];3034;1308
node;imprimeur_lithographe;0;22372;22372;und;0;587;"";"";1024;1438
node;imprimeur_lithographe;0;22382;22382;und;0;3275;"";En-tête de lettre. 1846. [A.N.];3102;986
node;imprimeur_lithographe;0;22388;22388;und;0;1969;"";Source  gallica.bnf.fr / Bibliothèque nationale de France;361;516
node;imprimeur_lithographe;0;22390;22390;und;0;4141;"";En-tête de lettre, 1868. [A. N.];1171;1190
node;imprimeur_lithographe;0;22406;22406;und;0;1915;"";A. N., F/18/1769;1268;1318
node;imprimeur_lithographe;0;22434;22434;und;0;3126;"";En-tête de facture.  [A.N.];3171;1309
node;imprimeur_lithographe;0;22435;22435;und;0;3125;"";En-tête de lettre, 1850. [A.N.];1991;837
node;imprimeur_lithographe;0;22466;22466;und;0;3183;"";En-tête de facture.  [A.N. F/18/1773];3237;1916
node;imprimeur_lithographe;0;22500;22500;und;0;2875;"";A. N., F/18/1776;2760;1535
node;imprimeur_lithographe;0;22516;22516;und;0;2348;"";Source  gallica.bnf.fr / Bibliothèque nationale de France;379;657
node;imprimeur_lithographe;0;22524;22524;und;0;2625;"";[A. N., F/18/1779];905;2591
node;imprimeur_lithographe;0;22533;22533;und;0;2618;"";A. N., F/18/1779;2402;2524
node;imprimeur_lithographe;0;22538;22538;und;0;3612;"";En-tête de facture. 1848.  [A.N. F/18/1810];3565;1093
node;imprimeur_lithographe;0;22541;22541;und;0;2425;"";A. N. F/18/1780;1586;2132
node;imprimeur_lithographe;0;22549;22549;und;0;2496;"";A. N. F/18/1780;2056;1839
node;imprimeur_lithographe;0;22577;22577;und;0;3590;"";Théophile Junca par B. R. Julien [Coll. particulière];201;230
node;imprimeur_lithographe;0;22580;22580;und;0;805;"";Archives nationales, F/18/1783;1964;2807
node;imprimeur_lithographe;0;22594;22594;und;0;2739;"";Source  gallica.bnf.fr / Bibliothèque nationale de France;2151;697
node;imprimeur_lithographe;0;22601;22601;und;0;1883;"";A. N., F/18/1785;2791;1907
node;imprimeur_lithographe;0;22634;22634;und;0;2949;""; [A. N., F/18/1747];3213;1926
node;imprimeur_lithographe;0;22649;22649;und;0;3349;"";En-tête de lettre. [A.N.];1721;1456
node;imprimeur_lithographe;0;22660;22660;und;0;3508;"";En-tête de facture, 1860.  [A.N. F/18/1790];3256;1394
node;imprimeur_lithographe;0;22661;22661;und;0;3511;"";En-tête de lettre. [A.N. F/18/1790];2173;1738
node;imprimeur_lithographe;0;22677;22677;und;0;3588;"";En-tête de lettre. [A.N.];763;940
node;imprimeur_lithographe;0;22685;22685;und;0;172;"";"";150;218
node;imprimeur_lithographe;0;22691;22691;und;0;3523;"";Portrait par Ladrey. [Gallica] ;416;606
node;imprimeur_lithographe;0;22692;22692;und;0;3586;"";Papier à en-tête  [A. N. F/18/1793];1519;1991
node;imprimeur_lithographe;0;22701;22701;und;0;3597;"";Carte de visite   [A. N.  F/18/1793];2025;1341
node;imprimeur_lithographe;0;22722;22722;und;0;3825;"";En-tête de lettre, 1861. [A. N. F/18/1795];1276;1635
node;imprimeur_lithographe;0;22723;22723;und;0;2519;"";A. N., F/18/1740;3087;1034
node;imprimeur_lithographe;0;22724;22724;und;0;3816;"";En-tête de lettre, 1849. [A. N. F/18/1795];2796;1581
node;imprimeur_lithographe;0;22727;22727;und;0;3837;"";En-tête de lettre, 1867. [A. N. F/18/1795];822;2306
node;imprimeur_lithographe;0;22729;22729;und;0;3812;"";En-tête de lettre, 1858. A. N. F/18/1795;827;660
node;imprimeur_lithographe;0;22749;22749;und;0;3717;"";En-tête de lettre. [A.N.];1678;892
node;imprimeur_lithographe;0;22762;22762;und;0;2979;"";A. N. F/18/1798;2448;769
node;imprimeur_lithographe;0;22768;22768;und;0;630;"";A. N. F/18/1798;782;2368
node;imprimeur_lithographe;0;22771;22771;und;0;2592;"";A. N., F/18/1799;891;859
node;imprimeur_lithographe;0;22775;22775;und;0;2591;"";A. N., F/18/1799;1867;1595
node;imprimeur_lithographe;0;22788;22788;und;0;3549;"";Carte de visite [A. N. F/18/1800];2891;2026
node;imprimeur_lithographe;0;22798;22798;und;0;3503;"";A. N. F/18/1801;1338;2098
node;imprimeur_lithographe;0;22816;22816;und;0;3725;"";En-tête de lettre, 1835  [A. N.];1461;493
node;imprimeur_lithographe;0;22817;22817;und;0;3734;"";En-tête de lettre, 1852.  [A. N.];2751;1095
node;imprimeur_lithographe;0;22818;22818;und;0;3733;"";Papier à lettres [A. N.];1781;2076
node;imprimeur_lithographe;0;22823;22823;und;0;4306;"";Papier à en-tête. 1833. [A. N.];2556;1563
node;imprimeur_lithographe;0;22827;22827;und;0;3749;"";Étiquette [A. N.];2227;1236
node;imprimeur_lithographe;0;22875;22875;und;0;3545;"";En-tête de facture.  [A.N. F/18/1807];2264;806
node;imprimeur_lithographe;0;22931;22931;und;0;3787;"";En-tête de lettre, 1852.  [A. N.];972;1028
node;imprimeur_lithographe;0;22945;22945;und;0;2341;"";INPI, Base brevets 19°;621;489
node;imprimeur_lithographe;0;22962;22962;und;0;3831;"";Portrait par Liébert. [BNF/Gallica];1020;1566
